Pandas Bootcamp

date	num	num2	str	str2
2014-01-11	425	316.980166	girl	yellow
2014-01-14	380	753.987245	boy	red
2014-03-03	504	683.604602	girl	green
2014-03-19	92	54.103423	girl	yellow
2014-03-22	652	458.135051	boy	red
2014-05-04	78	754.538073	boy	blue
2014-05-18	360	238.759123	girl	blue
2014-06-10	517	830.540505	boy	purple
2014-07-19	822	826.162928	girl	purple
2014-08-17	712	361.156380	boy	purple
2014-08-29	155	524.199506	boy	red
2014-09-17	232	374.757023	girl	purple
2014-09-20	502	841.795939	boy	blue
2014-10-01	898	616.012001	boy	green
2014-10-13	465	700.375645	boy	yellow
2014-10-16	88	842.862302	girl	purple
2014-12-30	707	560.122707	boy	green
2015-01-08	240	585.791341	boy	purple
2015-01-13	947	188.948914	boy	green
2015-01-30	795	721.538255	boy	red
2015-02-27	55	449.128106	boy	green
2015-03-04	504	156.417901	boy	green
2015-04-24	739	723.670925	boy	blue
2015-06-06	290	413.591839	boy	purple
2015-06-13	836	463.234865	boy	yellow
2015-06-25	289	720.606904	boy	red
2015-06-26	105	561.145244	boy	red
2015-07-01	192	690.666830	boy	purple
2015-07-02	384	96.705835	girl	blue
2015-09-12	668	748.279469	boy	green
2015-10-05	699	100.475509	boy	yellow
2015-10-20	777	342.218190	girl	purple
2015-11-03	20	736.263230	girl	purple
2015-11-10	342	716.622462	girl	red
2015-12-07	835	52.116061	boy	blue
2015-12-23	479	710.700008	boy	yellow
2016-01-02	38	188.787582	boy	green
2016-01-31	765	924.163054	boy	yellow
2016-02-20	304	606.213815	boy	blue
2016-02-26	69	416.569350	girl	purple
2016-03-07	757	128.622282	boy	yellow
2016-05-01	454	245.508640	girl	yellow
2016-05-03	229	279.101912	boy	green
2016-06-17	246	911.940265	girl	purple
2016-07-04	791	685.360372	boy	blue
2016-08-01	289	216.389045	boy	green
2016-08-12	458	386.966497	girl	purple
2016-08-15	916	543.228738	boy	blue
2016-08-23	824	267.902308	girl	red
2016-09-20	380	501.423946	girl	purple
